seriename,date,value
AUT,1.6.2000,-0.03658
AUT,1.9.2000,-0.03722
AUT,1.12.2000,-0.03846
AUT,1.3.2001,-0.03993
AUT,1.6.2001,-0.0411
AUT,1.9.2001,-0.04144
AUT,1.12.2001,-0.04033
AUT,1.3.2002,-0.03733
AUT,1.6.2002,-0.03232
AUT,1.9.2002,-0.02525
AUT,1.12.2002,-0.01612
AUT,1.3.2003,-0.00519
AUT,1.6.2003,0.00715
AUT,1.9.2003,0.02051
AUT,1.12.2003,0.03428
AUT,1.3.2004,0.0478
AUT,1.6.2004,0.06063
AUT,1.9.2004,0.07229
AUT,1.12.2004,0.08226
AUT,1.3.2005,0.09002
AUT,1.6.2005,0.09467
AUT,1.9.2005,0.09521
AUT,1.12.2005,0.09109
AUT,1.3.2006,0.08209
AUT,1.6.2006,0.06815
AUT,1.9.2006,0.04956
AUT,1.12.2006,0.02689
AUT,1.3.2007,0.00125
AUT,1.6.2007,-0.02511
AUT,1.9.2007,-0.04944
AUT,1.12.2007,-0.06955
AUT,1.3.2008,-0.08383
AUT,1.6.2008,-0.09132
AUT,1.9.2008,-0.09162
AUT,1.12.2008,-0.08465
AUT,1.3.2009,-0.07115
AUT,1.6.2009,-0.05343
AUT,1.9.2009,-0.03447
AUT,1.12.2009,-0.01684
AUT,1.3.2010,-0.00228
AUT,1.6.2010,0.0084
AUT,1.9.2010,0.01491
AUT,1.12.2010,0.01702
AUT,1.3.2011,0.01506
AUT,1.6.2011,0.01041
AUT,1.9.2011,0.00498
AUT,1.12.2011,0.00042
AUT,1.3.2012,-0.00246
AUT,1.6.2012,-0.00386
AUT,1.9.2012,-0.00424
AUT,1.12.2012,-0.00395
AUT,1.3.2013,-0.00327
AUT,1.6.2013,-0.0027
AUT,1.9.2013,-0.00293
AUT,1.12.2013,-0.00449
AUT,1.3.2014,-0.00728
AUT,1.6.2014,-0.01049
AUT,1.9.2014,-0.0132
AUT,1.12.2014,-0.01463
AUT,1.3.2015,-0.01439
AUT,1.6.2015,-0.01248
AUT,1.9.2015,-0.00892
AUT,1.12.2015,-0.00388
AUT,1.3.2016,0.00214
AUT,1.6.2016,0.00841
AUT,1.9.2016,0.01413
AUT,1.12.2016,0.01864
AUT,1.3.2017,0.02169
AUT,1.6.2017,0.02339
AUT,1.9.2017,0.02401
AUT,1.12.2017,0.02392
AUT,1.3.2018,0.02354
AUT,1.6.2018,0.02323
BEL,1.9.1985,0.04028
BEL,1.12.1985,0.03782
BEL,1.3.1986,0.03304
BEL,1.6.1986,0.02679
BEL,1.9.1986,0.02011
BEL,1.12.1986,0.01389
BEL,1.3.1987,0.00906
BEL,1.6.1987,0.00615
BEL,1.9.1987,0.0051
BEL,1.12.1987,0.00577
BEL,1.3.1988,0.0078
BEL,1.6.1988,0.01008
BEL,1.9.1988,0.01152
BEL,1.12.1988,0.01125
BEL,1.3.1989,0.00851
BEL,1.6.1989,0.00318
BEL,1.9.1989,-0.00437
BEL,1.12.1989,-0.01375
BEL,1.3.1990,-0.02416
BEL,1.6.1990,-0.0342
BEL,1.9.1990,-0.0426
