seriename,date,value
AUT,1.12.1986,-0.128
AUT,1.3.1987,-0.118
AUT,1.6.1987,-0.101
AUT,1.9.1987,-0.076
AUT,1.12.1987,-0.045
AUT,1.3.1988,-0.01
AUT,1.6.1988,0.026
AUT,1.9.1988,0.06
AUT,1.12.1988,0.089
AUT,1.3.1989,0.112
AUT,1.6.1989,0.126
AUT,1.9.1989,0.13
AUT,1.12.1989,0.124
AUT,1.3.1990,0.109
AUT,1.6.1990,0.086
AUT,1.9.1990,0.058
AUT,1.12.1990,0.029
AUT,1.3.1991,0
AUT,1.6.1991,-0.025
AUT,1.9.1991,-0.045
AUT,1.12.1991,-0.058
AUT,1.3.1992,-0.065
AUT,1.6.1992,-0.064
AUT,1.9.1992,-0.059
AUT,1.12.1992,-0.05
AUT,1.3.1993,-0.041
AUT,1.6.1993,-0.031
AUT,1.9.1993,-0.024
AUT,1.12.1993,-0.018
AUT,1.3.1994,-0.016
AUT,1.6.1994,-0.015
AUT,1.9.1994,-0.016
AUT,1.12.1994,-0.017
AUT,1.3.1995,-0.016
AUT,1.6.1995,-0.014
AUT,1.9.1995,-0.011
AUT,1.12.1995,-0.005
AUT,1.3.1996,0.002
AUT,1.6.1996,0.01
AUT,1.9.1996,0.017
AUT,1.12.1996,0.022
AUT,1.3.1997,0.025
AUT,1.6.1997,0.025
AUT,1.9.1997,0.023
AUT,1.12.1997,0.019
AUT,1.3.1998,0.012
AUT,1.6.1998,0.005
AUT,1.9.1998,-0.002
AUT,1.12.1998,-0.008
AUT,1.3.1999,-0.013
AUT,1.6.1999,-0.017
AUT,1.9.1999,-0.019
AUT,1.12.1999,-0.021
AUT,1.3.2000,-0.021
AUT,1.6.2000,-0.022
AUT,1.9.2000,-0.022
AUT,1.12.2000,-0.023
AUT,1.3.2001,-0.025
AUT,1.6.2001,-0.026
AUT,1.9.2001,-0.027
AUT,1.12.2001,-0.027
AUT,1.3.2002,-0.025
AUT,1.6.2002,-0.022
AUT,1.9.2002,-0.017
AUT,1.12.2002,-0.009
AUT,1.3.2003,0
AUT,1.6.2003,0.011
AUT,1.9.2003,0.023
AUT,1.12.2003,0.035
AUT,1.3.2004,0.047
AUT,1.6.2004,0.059
AUT,1.9.2004,0.07
AUT,1.12.2004,0.079
AUT,1.3.2005,0.086
AUT,1.6.2005,0.09
AUT,1.9.2005,0.09
AUT,1.12.2005,0.085
AUT,1.3.2006,0.075
AUT,1.6.2006,0.061
AUT,1.9.2006,0.042
AUT,1.12.2006,0.019
AUT,1.3.2007,-0.007
AUT,1.6.2007,-0.033
AUT,1.9.2007,-0.057
AUT,1.12.2007,-0.077
AUT,1.3.2008,-0.092
AUT,1.6.2008,-0.099
AUT,1.9.2008,-0.099
AUT,1.12.2008,-0.092
AUT,1.3.2009,-0.078
AUT,1.6.2009,-0.06
AUT,1.9.2009,-0.04
AUT,1.12.2009,-0.022
AUT,1.3.2010,-0.007
AUT,1.6.2010,0.005
AUT,1.9.2010,0.012
AUT,1.12.2010,0.016
AUT,1.3.2011,0.015
AUT,1.6.2011,0.011
AUT,1.9.2011,0.007
AUT,1.12.2011,0.003
AUT,1.3.2012,0.001
AUT,1.6.2012,0
AUT,1.9.2012,0
AUT,1.12.2012,0.002
AUT,1.3.2013,0.003
