seriename,date,value
AUT,1.6.2000,-0.03641
AUT,1.9.2000,-0.03704
AUT,1.12.2000,-0.03827
AUT,1.3.2001,-0.03972
AUT,1.6.2001,-0.04088
AUT,1.9.2001,-0.04119
AUT,1.12.2001,-0.04006
AUT,1.3.2002,-0.03704
AUT,1.6.2002,-0.03201
AUT,1.9.2002,-0.02492
AUT,1.12.2002,-0.01577
AUT,1.3.2003,-0.00483
AUT,1.6.2003,0.00752
AUT,1.9.2003,0.02089
AUT,1.12.2003,0.03466
AUT,1.3.2004,0.04816
AUT,1.6.2004,0.06098
AUT,1.9.2004,0.07261
AUT,1.12.2004,0.08255
AUT,1.3.2005,0.09025
AUT,1.6.2005,0.09485
AUT,1.9.2005,0.09533
AUT,1.12.2005,0.09113
AUT,1.3.2006,0.08207
AUT,1.6.2006,0.06805
AUT,1.9.2006,0.04938
AUT,1.12.2006,0.02664
AUT,1.3.2007,0.00092
AUT,1.6.2007,-0.02551
AUT,1.9.2007,-0.04993
AUT,1.12.2007,-0.07012
AUT,1.3.2008,-0.0845
AUT,1.6.2008,-0.09208
AUT,1.9.2008,-0.09249
AUT,1.12.2008,-0.08562
AUT,1.3.2009,-0.07222
AUT,1.6.2009,-0.05461
AUT,1.9.2009,-0.03575
AUT,1.12.2009,-0.01822
AUT,1.3.2010,-0.00377
AUT,1.6.2010,0.0068
AUT,1.9.2010,0.0132
AUT,1.12.2010,0.01521
AUT,1.3.2011,0.01314
AUT,1.6.2011,0.00841
AUT,1.9.2011,0.00294
AUT,1.12.2011,-0.00159
AUT,1.3.2012,-0.00433
AUT,1.6.2012,-0.00545
AUT,1.9.2012,-0.00544
AUT,1.12.2012,-0.00467
AUT,1.3.2013,-0.00353
AUT,1.6.2013,-0.00258
AUT,1.9.2013,-0.00261
AUT,1.12.2013,-0.00425
AUT,1.3.2014,-0.00749
AUT,1.6.2014,-0.01158
AUT,1.9.2014,-0.01548
AUT,1.12.2014,-0.01821
AUT,1.3.2015,-0.01903
AUT,1.6.2015,-0.01754
AUT,1.9.2015,-0.01345
AUT,1.12.2015,-0.00664
AUT,1.3.2016,0.00262
AUT,1.6.2016,0.01357
AUT,1.9.2016,0.02518
AUT,1.12.2016,0.03621
AUT,1.3.2017,0.04553
AUT,1.6.2017,0.05225
AUT,1.9.2017,0.05578
BEL,1.9.1985,0.04031
BEL,1.12.1985,0.03786
BEL,1.3.1986,0.03308
BEL,1.6.1986,0.02683
BEL,1.9.1986,0.02015
BEL,1.12.1986,0.01393
BEL,1.3.1987,0.0091
BEL,1.6.1987,0.0062
BEL,1.9.1987,0.00514
BEL,1.12.1987,0.00582
BEL,1.3.1988,0.00785
BEL,1.6.1988,0.01012
BEL,1.9.1988,0.01156
BEL,1.12.1988,0.01129
BEL,1.3.1989,0.00855
BEL,1.6.1989,0.00322
BEL,1.9.1989,-0.00433
BEL,1.12.1989,-0.01372
BEL,1.3.1990,-0.02412
BEL,1.6.1990,-0.03417
BEL,1.9.1990,-0.04257
BEL,1.12.1990,-0.04826
BEL,1.3.1991,-0.05043
BEL,1.6.1991,-0.04901
BEL,1.9.1991,-0.04433
BEL,1.12.1991,-0.03684
BEL,1.3.1992,-0.02742
BEL,1.6.1992,-0.01738
BEL,1.9.1992,-0.008
BEL,1.12.1992,-0.00043
BEL,1.3.1993,0.00442
BEL,1.6.1993,0.00632
BEL,1.9.1993,0.00541
BEL,1.12.1993,0.00199
BEL,1.3.1994,-0.00321
BEL,1.6.1994,-0.00914
BEL,1.9.1994,-0.01469
BEL,1.12.1994,-0.01863
BEL,1.3.1995,-0.01995
BEL,1.6.1995,-0.01818
BEL,1.9.1995,-0.0132
BEL,1.12.1995,-0.0051
BEL,1.3.1996,0.00554
BEL,1.6.1996,0.01787
BEL,1.9.1996,0.03078
BEL,1.12.1996,0.04288
BEL,1.3.1997,0.0529
BEL,1.6.1997,0.06002
BEL,1.9.1997,0.0636
BEL,1.12.1997,0.06329
BEL,1.3.1998,0.0592
BEL,1.6.1998,0.05172
BEL,1.9.1998,0.04162
BEL,1.12.1998,0.03002
BEL,1.3.1999,0.01787
BEL,1.6.1999,0.00577
BEL,1.9.1999,-0.00573
BEL,1.12.1999,-0.01624
BEL,1.3.2000,-0.02559
BEL,1.6.2000,-0.03373
BEL,1.9.2000,-0.04092
BEL,1.12.2000,-0.04759
BEL,1.3.2001,-0.05373
BEL,1.6.2001,-0.05889
BEL,1.9.2001,-0.06254
BEL,1.12.2001,-0.06416
BEL,1.3.2002,-0.06333
BEL,1.6.2002,-0.05978
BEL,1.9.2002,-0.05314
BEL,1.12.2002,-0.04313
BEL,1.3.2003,-0.03002
BEL,1.6.2003,-0.01462
BEL,1.9.2003,0.00202
BEL,1.12.2003,0.01882
BEL,1.3.2004,0.03495
BEL,1.6.2004,0.04975
BEL,1.9.2004,0.06252
BEL,1.12.2004,0.07259
BEL,1.3.2005,0.07948
BEL,1.6.2005,0.08286
BEL,1.9.2005,0.08256
BEL,1.12.2005,0.07857
BEL,1.3.2006,0.07084
BEL,1.6.2006,0.05942
BEL,1.9.2006,0.04453
BEL,1.12.2006,0.0267
BEL,1.3.2007,0.00686
BEL,1.6.2007,-0.01345
BEL,1.9.2007,-0.03256
BEL,1.12.2007,-0.04893
BEL,1.3.2008,-0.06137
BEL,1.6.2008,-0.06908
BEL,1.9.2008,-0.07159
BEL,1.12.2008,-0.0688
BEL,1.3.2009,-0.06127
BEL,1.6.2009,-0.0505
BEL,1.9.2009,-0.03839
BEL,1.12.2009,-0.0267
BEL,1.3.2010,-0.01659
BEL,1.6.2010,-0.00863
BEL,1.9.2010,-0.00308
BEL,1.12.2010,-8e-05
BEL,1.3.2011,0.00064
BEL,1.6.2011,-3e-05
BEL,1.9.2011,-0.00082
BEL,1.12.2011,-0.00062
BEL,1.3.2012,0.00106
BEL,1.6.2012,0.00408
BEL,1.9.2012,0.00812
BEL,1.12.2012,0.01282
BEL,1.3.2013,0.01782
BEL,1.6.2013,0.02256
BEL,1.9.2013,0.02628
BEL,1.12.2013,0.02828
BEL,1.3.2014,0.0283
BEL,1.6.2014,0.02651
BEL,1.9.2014,0.02328
BEL,1.12.2014,0.01904
BEL,1.3.2015,0.0141
BEL,1.6.2015,0.00878
BEL,1.9.2015,0.00352
BEL,1.12.2015,-0.00125
BEL,1.3.2016,-0.00527
BEL,1.6.2016,-0.00844
BEL,1.9.2016,-0.01081
BEL,1.12.2016,-0.01253
BEL,1.3.2017,-0.0137
BEL,1.6.2017,-0.0144
BEL,1.9.2017,-0.01473
DEU,1.6.1971,0.03251
DEU,1.9.1971,0.03
DEU,1.12.1971,0.02522
DEU,1.3.1972,0.01862
DEU,1.6.1972,0.01073
DEU,1.9.1972,0.00218
DEU,1.12.1972,-0.00631
DEU,1.3.1973,-0.01396
DEU,1.6.1973,-0.02005
DEU,1.9.1973,-0.02405
DEU,1.12.1973,-0.02572
DEU,1.3.1974,-0.02508
DEU,1.6.1974,-0.0224
DEU,1.9.1974,-0.01817
DEU,1.12.1974,-0.01298
DEU,1.3.1975,-0.00748
DEU,1.6.1975,-0.00223
DEU,1.9.1975,0.00234
DEU,1.12.1975,0.00599
DEU,1.3.1976,0.0086
DEU,1.6.1976,0.0103
DEU,1.9.1976,0.01137
DEU,1.12.1976,0.01204
DEU,1.3.1977,0.01247
DEU,1.6.1977,0.01269
DEU,1.9.1977,0.01255
DEU,1.12.1977,0.01195
DEU,1.3.1978,0.01083
DEU,1.6.1978,0.00906
DEU,1.9.1978,0.0065
DEU,1.12.1978,0.00308
DEU,1.3.1979,-0.00114
DEU,1.6.1979,-0.00588
DEU,1.9.1979,-0.01066
DEU,1.12.1979,-0.01509
DEU,1.3.1980,-0.01894
DEU,1.6.1980,-0.02197
DEU,1.9.1980,-0.02397
DEU,1.12.1980,-0.02477
DEU,1.3.1981,-0.02426
DEU,1.6.1981,-0.02252
DEU,1.9.1981,-0.01989
DEU,1.12.1981,-0.0167
DEU,1.3.1982,-0.01315
DEU,1.6.1982,-0.00932
DEU,1.9.1982,-0.00517
DEU,1.12.1982,-0.00065
DEU,1.3.1983,0.00416
DEU,1.6.1983,0.00937
DEU,1.9.1983,0.01518
DEU,1.12.1983,0.02178
DEU,1.3.1984,0.0291
DEU,1.6.1984,0.0366
DEU,1.9.1984,0.04332
DEU,1.12.1984,0.04826
DEU,1.3.1985,0.05064
DEU,1.6.1985,0.0497
DEU,1.9.1985,0.04487
DEU,1.12.1985,0.03582
DEU,1.3.1986,0.02272
DEU,1.6.1986,0.00669
DEU,1.9.1986,-0.01032
DEU,1.12.1986,-0.02633
DEU,1.3.1987,-0.03954
DEU,1.6.1987,-0.04849
DEU,1.9.1987,-0.05219
DEU,1.12.1987,-0.05004
DEU,1.3.1988,-0.04203
DEU,1.6.1988,-0.02941
DEU,1.9.1988,-0.01433
DEU,1.12.1988,0.00097
DEU,1.3.1989,0.0144
DEU,1.6.1989,0.02437
DEU,1.9.1989,0.02992
DEU,1.12.1989,0.03037
DEU,1.3.1990,0.02562
DEU,1.6.1990,0.01664
DEU,1.9.1990,0.00515
DEU,1.12.1990,-0.00705
DEU,1.3.1991,-0.01816
DEU,1.6.1991,-0.02692
DEU,1.9.1991,-0.03259
DEU,1.12.1991,-0.03463
DEU,1.3.1992,-0.03297
DEU,1.6.1992,-0.0283
DEU,1.9.1992,-0.02176
DEU,1.12.1992,-0.01461
DEU,1.3.1993,-0.00814
DEU,1.6.1993,-0.00323
DEU,1.9.1993,-0.00027
DEU,1.12.1993,0.00049
DEU,1.3.1994,-0.00078
DEU,1.6.1994,-0.00338
DEU,1.9.1994,-0.00646
DEU,1.12.1994,-0.00899
DEU,1.3.1995,-0.00997
DEU,1.6.1995,-0.00886
DEU,1.9.1995,-0.00554
DEU,1.12.1995,-0.00011
DEU,1.3.1996,0.007
DEU,1.6.1996,0.01507
DEU,1.9.1996,0.02336
DEU,1.12.1996,0.03101
DEU,1.3.1997,0.03721
DEU,1.6.1997,0.04172
DEU,1.9.1997,0.04457
DEU,1.12.1997,0.04594
DEU,1.3.1998,0.04615
DEU,1.6.1998,0.04546
DEU,1.9.1998,0.04395
DEU,1.12.1998,0.04181
DEU,1.3.1999,0.03896
DEU,1.6.1999,0.03488
DEU,1.9.1999,0.02896
DEU,1.12.1999,0.02072
DEU,1.3.2000,0.0099
DEU,1.6.2000,-0.00326
DEU,1.9.2000,-0.01823
DEU,1.12.2000,-0.03432
DEU,1.3.2001,-0.05041
DEU,1.6.2001,-0.06493
DEU,1.9.2001,-0.07634
DEU,1.12.2001,-0.08341
DEU,1.3.2002,-0.08546
DEU,1.6.2002,-0.08248
DEU,1.9.2002,-0.07476
DEU,1.12.2002,-0.06283
DEU,1.3.2003,-0.04772
DEU,1.6.2003,-0.03081
DEU,1.9.2003,-0.01357
DEU,1.12.2003,0.0028
DEU,1.3.2004,0.01763
DEU,1.6.2004,0.03072
DEU,1.9.2004,0.04192
DEU,1.12.2004,0.0511
DEU,1.3.2005,0.05816
DEU,1.6.2005,0.06303
DEU,1.9.2005,0.06562
DEU,1.12.2005,0.06576
DEU,1.3.2006,0.06307
DEU,1.6.2006,0.05708
DEU,1.9.2006,0.04753
DEU,1.12.2006,0.03459
DEU,1.3.2007,0.01892
DEU,1.6.2007,0.00179
DEU,1.9.2007,-0.01522
DEU,1.12.2007,-0.03056
DEU,1.3.2008,-0.04289
DEU,1.6.2008,-0.05107
DEU,1.9.2008,-0.05439
DEU,1.12.2008,-0.0526
DEU,1.3.2009,-0.04616
DEU,1.6.2009,-0.03644
DEU,1.9.2009,-0.0253
DEU,1.12.2009,-0.01449
DEU,1.3.2010,-0.00525
DEU,1.6.2010,0.00171
DEU,1.9.2010,0.006
DEU,1.12.2010,0.00751
DEU,1.3.2011,0.00655
DEU,1.6.2011,0.0041
DEU,1.9.2011,0.00154
DEU,1.12.2011,0.00011
DEU,1.3.2012,0.00033
DEU,1.6.2012,0.00209
DEU,1.9.2012,0.00502
DEU,1.12.2012,0.00869
DEU,1.3.2013,0.01259
DEU,1.6.2013,0.01608
DEU,1.9.2013,0.01819
DEU,1.12.2013,0.01816
DEU,1.3.2014,0.01586
DEU,1.6.2014,0.01172
DEU,1.9.2014,0.00645
DEU,1.12.2014,0.00085
DEU,1.3.2015,-0.00444
DEU,1.6.2015,-0.00886
DEU,1.9.2015,-0.01171
DEU,1.12.2015,-0.01249
DEU,1.3.2016,-0.01113
DEU,1.6.2016,-0.00795
DEU,1.9.2016,-0.00363
DEU,1.12.2016,0.00103
DEU,1.3.2017,0.0054
DEU,1.6.2017,0.00883
DEU,1.9.2017,0.0107
DNK,1.12.1983,0.00956
DNK,1.3.1984,0.01178
DNK,1.6.1984,0.01564
DNK,1.9.1984,0.02005
DNK,1.12.1984,0.02381
DNK,1.3.1985,0.02594
DNK,1.6.1985,0.02553
DNK,1.9.1985,0.02202
DNK,1.12.1985,0.01551
DNK,1.3.1986,0.00668
DNK,1.6.1986,-0.00317
DNK,1.9.1986,-0.01241
DNK,1.12.1986,-0.0196
DNK,1.3.1987,-0.02377
DNK,1.6.1987,-0.02424
DNK,1.9.1987,-0.02078
DNK,1.12.1987,-0.01376
DNK,1.3.1988,-0.00408
DNK,1.6.1988,0.00674
DNK,1.9.1988,0.01687
DNK,1.12.1988,0.0248
DNK,1.3.1989,0.02949
DNK,1.6.1989,0.0303
DNK,1.9.1989,0.02698
DNK,1.12.1989,0.01967
DNK,1.3.1990,0.00894
DNK,1.6.1990,-0.00405
DNK,1.9.1990,-0.01776
DNK,1.12.1990,-0.0308
DNK,1.3.1991,-0.04198
DNK,1.6.1991,-0.05039
DNK,1.9.1991,-0.05542
DNK,1.12.1991,-0.05669
